Image Sticker,Slice Index,Model,IoU,Dice
lung_074,325,EfficientSAM (VIT-small),0.207070707070707,0.3430962343096234
lung_074,326,EfficientSAM (VIT-tiny),0.4022556390977443,0.5737265415549598
lung_074,326,EfficientSAM (VIT-small),0.2123552123552123,0.3503184713375796
lung_074,327,EfficientSAM (VIT-tiny),0.3614457831325301,0.5309734513274337
lung_074,327,EfficientSAM (VIT-small),0.1019417475728155,0.185022026431718
lung_074,328,EfficientSAM (VIT-tiny),0.3383458646616541,0.5056179775280899
lung_074,328,EfficientSAM (VIT-small),0.205761316872428,0.3412969283276451
lung_074,329,EfficientSAM (VIT-tiny),0.3349056603773584,0.5017667844522968
lung_074,329,EfficientSAM (VIT-small),0.2949308755760368,0.4555160142348754
lung_074,330,EfficientSAM (VIT-tiny),0.369047619047619,0.5391304347826087
lung_074,330,EfficientSAM (VIT-small),0.2557077625570776,0.4072727272727273
lung_074,331,EfficientSAM (VIT-tiny),0.6651162790697674,0.7988826815642458
lung_074,331,EfficientSAM (VIT-small),0.2833333333333333,0.4415584415584415
lung_074,332,EfficientSAM (VIT-tiny),0.3496503496503496,0.5181347150259067
lung_074,332,EfficientSAM (VIT-small),0.2592592592592592,0.4117647058823529
lung_074,333,EfficientSAM (VIT-tiny),0.4851063829787234,0.6532951289398281
lung_074,333,EfficientSAM (VIT-small),0.2535885167464115,0.4045801526717557
lung_074,334,EfficientSAM (VIT-tiny),0.4925373134328358,0.66
lung_074,334,EfficientSAM (VIT-small),0.5131578947368421,0.6782608695652174
lung_074,335,EfficientSAM (VIT-tiny),0.5714285714285714,0.7272727272727273
lung_074,335,EfficientSAM (VIT-small),0.575,0.7301587301587301
lung_046,138,EfficientSAM (VIT-tiny),0.0,0.0
lung_046,138,EfficientSAM (VIT-small),0.2063492063492063,0.3421052631578947
lung_046,139,EfficientSAM (VIT-tiny),0.0,0.0
lung_046,139,EfficientSAM (VIT-small),0.1785714285714285,0.303030303030303
lung_046,140,EfficientSAM (VIT-tiny),0.0821917808219178,0.1518987341772152
lung_046,140,EfficientSAM (VIT-small),0.1066666666666666,0.1927710843373494
lung_046,141,EfficientSAM (VIT-tiny),0.081081081081081,0.15
lung_046,141,EfficientSAM (VIT-small),0.3134328358208955,0.4772727272727273
lung_046,142,EfficientSAM (VIT-tiny),0.0,0.0
lung_046,142,EfficientSAM (VIT-small),0.152073732718894,0.264
lung_046,143,EfficientSAM (VIT-tiny),0.1769662921348314,0.3007159904534606
lung_046,143,EfficientSAM (VIT-small),0.3414634146341463,0.509090909090909
lung_046,144,EfficientSAM (VIT-tiny),0.1644908616187989,0.2825112107623318
lung_046,144,EfficientSAM (VIT-small),0.268361581920904,0.4231625835189309
lung_046,145,EfficientSAM (VIT-tiny),0.1928783382789317,0.3233830845771144
lung_046,145,EfficientSAM (VIT-small),0.4328859060402684,0.6042154566744731
lung_046,146,EfficientSAM (VIT-tiny),0.1899441340782122,0.3192488262910798
lung_046,146,EfficientSAM (VIT-small),0.3848580441640378,0.5558086560364465
lung_046,147,EfficientSAM (VIT-tiny),0.3276955602536998,0.4936305732484076
lung_046,147,EfficientSAM (VIT-small),0.3076923076923077,0.4705882352941176
lung_046,148,EfficientSAM (VIT-tiny),0.5287356321839081,0.6917293233082706
lung_046,148,EfficientSAM (VIT-small),0.3747016706443914,0.5451388888888888
lung_046,149,EfficientSAM (VIT-tiny),0.39,0.5611510791366906
lung_046,149,EfficientSAM (VIT-small),0.3641975308641975,0.5339366515837104
lung_046,150,EfficientSAM (VIT-tiny),0.4297800338409475,0.6011834319526628
lung_046,150,EfficientSAM (VIT-small),0.2730318257956449,0.4289473684210526
lung_046,151,EfficientSAM (VIT-tiny),0.3898305084745763,0.5609756097560976
lung_046,151,EfficientSAM (VIT-small),0.3141945773524721,0.4781553398058252
lung_046,152,EfficientSAM (VIT-tiny),0.4583333333333333,0.6285714285714286
lung_046,152,EfficientSAM (VIT-small),0.3937823834196891,0.5650557620817844
lung_046,153,EfficientSAM (VIT-tiny),0.4168466522678186,0.5884146341463414
lung_046,153,EfficientSAM (VIT-small),0.2840043525571273,0.4423728813559322
lung_046,154,EfficientSAM (VIT-tiny),0.4,0.5714285714285714
lung_046,154,EfficientSAM (VIT-small),0.3451834862385321,0.5132139812446718
lung_046,155,EfficientSAM (VIT-tiny),0.4229957805907173,0.5945144551519644
lung_046,155,EfficientSAM (VIT-small),0.3896663078579117,0.5608055770720372
lung_046,156,EfficientSAM (VIT-tiny),0.3318681318681318,0.4983498349834983
lung_046,156,EfficientSAM (VIT-small),0.3483516483516483,0.5167074164629177
lung_046,157,EfficientSAM (VIT-tiny),0.387031408308004,0.5580715850986121
lung_046,157,EfficientSAM (VIT-small),0.4075235109717868,0.579064587973274
lung_046,158,EfficientSAM (VIT-tiny),0.3445026178010471,0.5124610591900312
lung_046,158,EfficientSAM (VIT-small),0.3437164339419978,0.5115907274180655
